6,8,33
6,8,39
6,9,10
6,9,14
6,9,16
6,9,20
6,9,22
6,9,26
6,9,28
6,9,32
6,9,34
6,9,38
6,9,40
6,10,15
6,10,21
6,10,25
6,10,27
6,10,33
6,10,35
6,10,39
6,14,15
6,14,21
6,14,27
6,14,33
6,14,35
6,14,39
6,15,16
6,15,20
6,15,22
6,15,25
6,15,26
6,15,28
6,15,32
6,15,34
6,15,35
6,15,38
6,15,40
6,16,21
6,16,27
6,16,33
6,16,39
6,20,21
6,20,25
6,20,27
6,20,33
6,20,35
6,20,39
6,21,22
6,21,26
6,21,28
6,21,32
6,21,34
6,21,35
6,21,38
6,21,40
6,22,27
6,22,33
6,22,39
6,26,27
6,26,33
6,26,39
6,27,28
6,27,32
6,27,34
6,27,38
6,27,40
6,28,33
6,28,35
6,28,39
6,32,33
6,32,39
6,33,34
6,33,38
6,33,40
6,34,39
6,38,39
6,39,40
8,9,12
8,9,30
8,9,42
8,10,15
8,10,25
8,10,35
8,10,45
8,10,55
8,12,15
8,12,21
8,12,27
8,12,33
8,12,39
8,12,45
8,12,51
8,14,21
8,14,35
8,14,49
8,15,20
8,15,50
8,18,27
8,18,45
8,20,25
8,20,35
8,20,45
8,20,55
8,21,28
8,22,33
8,22,55
8,26,39
8,27,36
8,28,35
8,28,49
8,30,45
8,33,44
8,34,51
8,36,45
8,39,52
8,44,55
9,10,15
9,12,16
9,12,20
9,12,28
9,12,32
9,12,40
9,12,44
9,12,52
9,12,56
9,14,21
9,15,20
9,15,25
9,15,35
9,15,40
9,15,50
9,15,55
9,16,24
9,16,60
9,20,30
9,21,28
9,21,35
9,21,49
9,21,56
9,22,33
9,24,32
9,24,40
9,24,56
9,26,39
9,28,42
9,30,40
9,30,50
9,32,48
9,33,44
9,33,55
9,34,51
9,38,57
9,39,52
9,40,60
9,42,56
10,12,15
10,12,45
10,14,35
10,18,45
10,21,35
10,22,55
10,26,65
10,27,45
10,28,35
10,33,55
10,36,45
10,39,65
10,44,55
10,52,65
12,14,21
12,14,63
12,15,16
12,15,20
12,15,25
12,15,28
12,15,32
12,15,35
12,15,40
12,15,44
12,15,50
12,15,52
12,15,55
12,15,56
12,15,64
12,15,65
12,15,68
12,15,70
12,15,76
12,15,80
12,16,21
12,16,27
12,16,33
12,16,39
12,16,45
12,16,51
12,16,57
12,16,63
12,16,69
12,16,75
12,16,81
12,20,21
12,20,25
12,20,27
12,20,33
12,20,35
12,20,39
12,20,45
12,20,51
12,20,55
12,20,57
12,20,63
12,20,65
12,20,69
12,20,75
12,20,81
12,21,28
12,21,32
12,21,35
12,21,40
12,21,44
12,21,49
12,21,52
12,21,56
12,21,64
12,21,68
12,21,70
12,21,76
12,21,77
12,21,80
12,22,33
12,26,39
12,27,28
12,27,32
12,27,40
12,27,44
12,27,52
12,27,56
12,27,64
12,27,68
12,27,76
12,27,80
12,28,33
12,28,35
12,28,39
12,28,45
12,28,49
12,28,51
12,28,57
12,28,63
12,28,69
12,28,75
12,28,77
12,28,81
12,32,33
12,32,39
12,32,45
12,32,51
12,32,57
12,32,63
12,32,69
12,32,75
12,32,81
12,33,40
12,33,44
12,33,52
12,33,55
12,33,56
12,33,64
12,33,68
12,33,76
12,33,77
12,33,80
12,34,51
12,38,57
12,39,40
12,39,44
12,39,52
12,39,56
12,39,64
12,39,65
12,39,68
12,39,76
12,39,80
12,40,45
12,40,51
12,40,57
12,40,63
12,40,69
12,40,75
12,40,81
12,44,45
12,44,51
12,44,55
12,44,57
12,44,63
12,44,69
12,44,75
12,44,77
12,44,81
12,45,52
12,45,56
12,45,64
12,45,68
12,45,76
12,45,80
12,46,69
12,50,75
12,51,52
12,51,56
12,51,64
12,51,68
12,51,76
12,51,80
12,52,57
12,52,63
12,52,65
12,52,69
12,52,75
12,52,81
12,56,57
12,56,63
12,56,69
12,56,75
12,56,81
12,57,64
12,57,68
12,57,76
12,57,80
12,63,64
12,63,68
12,63,76
12,63,80
12,64,69
12,64,75
12,64,81
12,68,69
12,68,75
12,68,81
12,69,76
12,69,80
12,75,76
12,75,80
12,76,81
12,80,81
14,15,35
14,18,63
14,20,35
14,22,77
14,26,91
14,27,63
14,33,77
14,36,63
14,39,91
14,44,77
14,52,91
15,16,20
